time,price,Returns,Dividend
04/30/19,355.7000122,,
05/31/19,392.1000061,0.102333406,
06/30/19,440.9500122,0.124585579,
07/31/19,397.6499939,-0.098197113,
08/31/19,469.25,0.180057858,
09/30/19,483.8999939,0.031220019,
10/31/19,541.6500244,0.119342904,
11/30/19,520.5999756,-0.038862823,
12/31/19,527.1500244,0.012581731,
01/31/20,590.7999878,0.120743546,
02/29/20,737.2000122,0.24779964,
03/31/20,484.3500061,-0.34298698,
04/30/20,505,0.042634445,
05/31/20,468.8500061,-0.071584146,
06/30/20,615.2999878,0.312359987,
07/31/20,558.0999756,-0.092962804,
08/31/20,639.2000122,0.145314532,
09/30/20,671.9000244,0.051157715,
10/31/20,659.5499878,-0.018380765,
11/30/20,720.2999878,0.092108257,
12/31/20,687.5999756,-0.045397769,
01/31/21,621.5499878,-0.096058741,
02/28/21,808.6500244,0.301021704,
03/31/21,751.0499878,-0.071229871,
04/30/21,776.7000122,0.03415222,
05/31/21,851.6500244,0.096498019,
06/30/21,849.8499756,-0.002113602,
07/31/21,922.9000244,0.085956405,
08/31/21,1006.900024,0.091017443,
09/30/21,1025.849976,0.018820092,
10/31/21,1003.150024,-0.022127944,
11/30/21,1014.400024,0.011214674,
12/31/21,1065,0.049881678,
01/31/22,1031.550049,-0.031408405,
02/28/22,1108.099976,0.074208641,
03/31/22,1275.5,0.151069423,
04/30/22,1228.400024,-0.036926676,
05/31/22,1124.050049,-0.084947878,
06/30/22,1074.150024,-0.044393063,
07/31/22,1268.599976,0.181026809,
08/31/22,1407.25,0.109293731,
09/30/22,1420,0.009060224,
10/31/22,1527.900024,0.075985933,
11/30/22,1471.650024,-0.036815236,
12/31/22,1351.349976,-0.081745012,
01/31/23,1196.599976,-0.114515117,
02/28/23,1278.150024,0.068151471,
03/31/23,1374.949951,0.075734401,
04/30/23,1367.75,-0.005236519,
05/31/23,1560.449951,0.140888285,
06/30/23,1764.150024,0.130539319,
07/31/23,1757.099976,-0.003996286,
08/31/23,2048.600098,0.165898427,
09/30/23,2080.149902,0.015400665,
10/31/23,2154.699951,0.035838787,
11/30/23,2787,0.293451554,
12/31/23,3054.949951,0.096142788,
01/31/24,3086.949951,0.010474803,
02/29/24,3881.800049,0.257487199,
03/31/24,3948,0.017053931,
