time,price,Returns,Dividend
04/30/19,1158.550049,,
05/31/19,1235.75,0.066634973,
06/30/19,1334.699951,0.080072791,
07/31/19,1056.349976,-0.208548727,
08/31/19,1105.099976,0.046149478,
09/30/19,1273.050049,0.151977266,
10/31/19,1331.199951,0.045677625,
11/30/19,1159.699951,-0.128831135,
12/31/19,1187.949951,0.024359749,
01/31/20,1187.75,-0.000168316,
02/29/20,1254.5,0.056198695,
03/31/20,933.7000122,-0.2557194,
04/30/20,970.0499878,0.038931108,
05/31/20,890,-0.082521508,
06/30/20,949.8499756,0.067247164,
07/31/20,1043.25,0.098331344,
08/31/20,1100.5,0.054876588,
09/30/20,1201.349976,0.091640141,
10/31/20,1165.75,-0.029633309,
11/30/20,1361.199951,0.167660263,
12/31/20,1567.150024,0.151300382,
01/31/21,1420.300049,-0.093705116,
02/28/21,1406.900024,-0.009434643,
03/31/21,1558.050049,0.107434801,
04/30/21,1491.650024,-0.042617389,
05/31/21,1596.25,0.070123671,
06/30/21,1732.5,0.085356304,
07/31/21,1714.550049,-0.010360722,
08/31/21,1921.599976,0.120760503,
09/30/21,2161.850098,0.125026085,
10/31/21,2383.550049,0.102551029,
11/30/21,2375.5,-0.003377336,
12/31/21,2522.399902,0.061839572,
01/31/22,2360.300049,-0.064264137,
02/28/22,2546.550049,0.078909459,
03/31/22,2536.149902,-0.004084014,
04/30/22,2458.199951,-0.030735546,
05/31/22,2216,-0.09852736,
06/30/22,1941.25,-0.123984657,
07/31/22,2352.050049,0.211616252,
08/31/22,2604.649902,0.107395612,
09/30/22,2606.949951,0.000883055,
10/31/22,2761.5,0.059283857,
11/30/22,2653,-0.039290241,
12/31/22,2597.5,-0.020919714,
01/31/23,2377.149902,-0.084831606,
02/28/23,2372.800049,-0.001829861,
03/31/23,2514.899902,0.05988699,
04/30/23,2641.850098,0.050479224,
05/31/23,2823.25,0.068663965,
06/30/23,3047.649902,0.079482831,
07/31/23,3004.050049,-0.014306057,
08/31/23,3104.449951,0.033421515,
09/30/23,3148.800049,0.014285976,
10/31/23,3189.649902,0.012973149,
11/30/23,3490.600098,0.094352109,
12/31/23,3675.449951,0.052956468,
01/31/24,3697.550049,0.006012896,
02/29/24,3624.399902,-0.019783409,
03/31/24,3801.800049,0.048946074,
