time,price,Returns,Dividend
04/30/19,639.25,,
05/31/19,610.8499756,-0.044427101,
06/30/19,622.0499878,0.018335128,
07/31/19,560.4000244,-0.099107732,
08/31/19,614.75,0.096984249,
09/30/19,685.4500122,0.11500612,
10/31/19,855.5,0.248085177,
11/30/19,924.25,0.080362361,
12/31/19,992.25,0.073573167,
01/31/20,984.5499878,-0.007760153,
02/29/20,1062.699951,0.079376329,
03/31/20,742.0499878,-0.301731418,
04/30/20,723.5999756,-0.024863571,
05/31/20,679.4000244,-0.061083406,
06/30/20,789.2999878,0.161760317,
07/31/20,820.2999878,0.039275308,
08/31/20,892.8499756,0.088443239,
09/30/20,819.9000244,-0.081704601,
10/31/20,920.7000122,0.122941804,
11/30/20,958.4000244,0.040947118,
12/31/20,1036.849976,0.081855122,
01/31/21,1222.900024,0.179437771,
02/28/21,1337.099976,0.093384536,
03/31/21,1379.550049,0.031747868,
04/30/21,1467.050049,0.063426477,
05/31/21,1674.25,0.141235775,
06/30/21,1975.050049,0.179662565,
07/31/21,1850.650024,-0.062985758,
08/31/21,2067.5,0.117175032,
09/30/21,2389,0.155501814,
10/31/21,2261.399902,-0.05341151,
11/30/21,2305.949951,0.019700208,
12/31/21,2466.5,0.069624256,
01/31/22,2523.899902,0.023271803,
02/28/22,2374.850098,-0.059055355,
03/31/22,2364.399902,-0.00440036,
04/30/22,2486.149902,0.051492981,
05/31/22,2441.800049,-0.017838769,
06/30/22,2201.199951,-0.098533906,
07/31/22,2317.449951,0.052812104,
08/31/22,2470.149902,0.06589137,
09/30/22,2560.75,0.036677976,
10/31/22,2777.449951,0.084623626,
11/30/22,2565,-0.07649101,
12/31/22,2569.100098,0.001598479,
01/31/23,2921.25,0.137071305,
02/28/23,3081.350098,0.054805339,
03/31/23,2880.050049,-0.065328522,
04/30/23,3205.350098,0.112949443,
05/31/23,3423.5,0.068058058,
06/30/23,3551.149902,0.037286374,
07/31/23,4816.799805,0.356405654,
08/31/23,5123.049805,0.063579557,
09/30/23,5343.049805,0.04294317,
10/31/23,4922.100098,-0.078784537,
11/30/23,5267.899902,0.070254525,
12/31/23,5484.850098,0.041183432,
01/31/24,4343.149902,-0.208155223,
02/29/24,4749.850098,0.093641759,
03/31/24,5065,0.066349442,
