time,price,Returns,Dividend
04/30/19,407.9500122,,
05/31/19,525.7000122,0.288638305,
06/30/19,480.1000061,-0.086741497,
07/31/19,438.5499878,-0.086544507,
08/31/19,470.5,0.072853752,
09/30/19,543.4000244,0.154941603,
10/31/19,590.4500122,0.086584442,
11/30/19,519.0499878,-0.120924757,
12/31/19,458.25,-0.117137057,
01/31/20,566.8499756,0.23698849,
02/29/20,490.5,-0.13469168,
03/31/20,268.3500061,-0.452905186,
04/30/20,290.5,0.082541432,
05/31/20,279.1000061,-0.039242664,
06/30/20,348.7999878,0.249731208,
07/31/20,348.1499939,-0.001863515,
08/31/20,396.5,0.138876941,
09/30/20,348.7999878,-0.120302679,
10/31/20,341.3500061,-0.021358893,
11/30/20,424.8999939,0.244763399,
12/31/20,476.75,0.122028729,
01/31/21,464.0499878,-0.026638725,
02/28/21,500.2000122,0.077901143,
03/31/21,522.7000122,0.044982006,
04/30/21,520.9000244,-0.003443634,
05/31/21,616.2999878,0.183144479,
06/30/21,693.4500122,0.125182583,
07/31/21,708.7999878,0.022135663,
08/31/21,762.0999756,0.075197501,
09/30/21,927.0999756,0.216507027,
10/31/21,913.0499878,-0.015154771,
11/30/21,1104.900024,0.210119971,
12/31/21,1168.050049,0.057154514,
01/31/22,1076.199951,-0.078635413,
02/28/22,988.0999756,-0.081862088,
03/31/22,1261,0.276186652,
04/30/22,1207.199951,-0.042664591,
05/31/22,1236.300049,0.02410545,
06/30/22,1152.550049,-0.067742455,
07/31/22,1238,0.074139905,
08/31/22,1472,0.18901454,
09/30/22,1445.300049,-0.018138554,
10/31/22,1615.199951,0.117553378,
11/30/22,1527.300049,-0.054420446,
12/31/22,1464.699951,-0.040987426,
01/31/23,1615.650024,0.1030587,
02/28/23,1625.25,0.005941866,
03/31/23,1698.650024,0.045162298,
04/30/23,1895.050049,0.115621241,
05/31/23,1997.150024,0.053877192,
06/30/23,2315.600098,0.159452254,
07/31/23,2429.550049,0.049209685,
08/31/23,2707.5,0.11440388,
09/30/23,2653.199951,-0.02005542,
10/31/23,2402.399902,-0.094527383,
11/30/23,2880.550049,0.199030206,
12/31/23,3249.449951,0.128065785,
01/31/24,3193.100098,-0.017341351,
02/29/24,3210.75,0.005527513,
03/31/24,3459.800049,0.077567562,
