time,price,dividend,return
9/1/10,,,0
10/1/10,,,0.037753936
11/1/10,,,-0.001107849
12/1/10,,,0.064337401
1/3/11,,,0.022233798
2/1/11,,,0.034664225
3/1/11,,,-0.004434226
4/1/11,,,0.029363081
5/2/11,,,-0.01169856
6/1/11,,,-0.021566402
7/1/11,,,-0.02055005
8/1/11,,,-0.055160904
9/1/11,,,-0.073066082
10/3/11,,,0.107419263
11/1/11,,,-0.002966154
12/1/11,,,0.00524952
1/3/12,,,0.044734552
2/1/12,,,0.04281906
3/1/12,,,0.028439048
4/2/12,,,-0.006369271
5/1/12,,,-0.06003767
6/1/12,,,0.035928144
7/2/12,,,0.012042389
8/1/12,,,0.025067428
9/4/12,,,0.020275499
10/1/12,,,-0.019569175
11/1/12,,,0.005724896
12/3/12,,,0.002923077
1/2/13,,,0.051695045
2/1/13,,,0.013273046
3/1/13,,,0.031236505
4/1/13,,,0.020938023
5/1/13,,,0.023243095
6/3/13,,,-0.020042758
7/1/13,,,0.053040633
8/1/13,,,-0.030816911
9/3/13,,,0.028723977
10/1/13,,,0.044675325
11/1/13,,,0.029960219
12/2/13,,,0.02082076
1/2/14,,,-0.035294118
2/3/14,,,0.045655105
3/3/14,,,0.004219657
4/1/14,,,0.00723665
5/1/14,,,0.022944551
6/2/14,,,0.016312659
7/1/14,,,-0.013765814
8/1/14,,,0.039726492
9/2/14,,,-0.018479265
10/1/14,,,0.024032338
11/3/14,,,0.027578002
12/1/14,,,-0.008577593
1/2/15,,,-0.028715499
2/2/15,,,0.055795399
3/2/15,,,-0.020703934
4/1/15,,,0.010042283
5/1/15,,,0.012506541
6/1/15,,,-0.02403225
7/1/15,,,0.021764457
8/3/15,,,-0.061363047
9/1/15,,,-0.029816134
10/1/15,,,0.084514256
11/2/15,,,0.00425063
12/1/15,,,-0.023201129
1/4/16,,,-0.049109292
2/1/16,,,-0.002081575
3/1/16,,,0.063028526
4/1/16,,,0.003500212
5/2/16,,,0.017545714
6/1/16,,,-0.001765867
7/1/16,,,0.036836629
8/1/16,,,0.001204336
9/1/16,,,-0.004159984
10/3/16,,,-0.017917359
11/1/16,,,0.037257213
12/1/16,,,0.01437747
1/3/17,,,0.017826701
2/1/17,,,0.038761545
3/1/17,,,-0.003316902
4/3/17,,,0.010399815
5/1/17,,,0.014043916
6/1/17,,,0.001759372
7/3/17,,,0.020625056
8/1/17,,,0.002912107
9/1/17,,,0.015222173
10/2/17,,,0.023270931
11/1/17,,,0.030576377
12/1/17,,,0.007972057
1/2/18,,,0.055852257
2/1/18,,,-0.037260126
3/1/18,,,-0.029116869
4/2/18,,,0.003469927
5/1/18,,,0.024164334
6/1/18,,,0.002894007
7/2/18,,,0.035629834
8/1/18,,,0.032198142
9/4/18,,,0.001237253
10/1/18,,,-0.068376708
11/1/18,,,0.01885124
12/3/18,,,-0.093380148
1/2/19,,,0.079195857
2/1/19,,,0.03249869
3/1/19,,,0.013550982
4/1/19,,,0.040340603
5/1/19,,,-0.06347913
6/3/19,,,0.064380907
7/1/19,,,0.014601523
8/1/19,,,-0.016405449
9/3/19,,,0.014892033
10/1/19,,,0.021826853
11/1/19,,,0.036259199
12/2/19,,,0.024770483
1/2/20,,,-0.000371873
2/3/20,,,-0.08099699
3/2/20,,,-0.128505189
4/1/20,,,0.127860823
5/1/20,,,0.047360539
6/1/20,,,0.013154602
7/1/20,,,0.058815228
8/3/20,,,0.069710097
9/1/20,,,-0.041648495
10/1/20,,,-0.025451
11/2/20,,,0.109465679
12/1/20,,,0.033219096
1/4/21,,,-0.010212692
2/1/21,,,0.027661826
3/1/21,,,0.042077863
4/1/21,,,0.052895965
5/3/21,,,0.00667414
6/1/21,,,0.019138632
7/1/21,,,0.024471437
8/2/21,,,0.029517549
9/1/21,,,-0.049753042
10/1/21,,,0.070385396
11/1/21,,,-0.007343187
12/1/21,,,0.041783993
1/3/22,,,-0.052408548
2/1/22,,,-0.029804926
3/1/22,,,0.034408013
4/1/22,,,-0.087843534
5/2/22,,,0.0025878
6/1/22,,,-0.086388538
7/1/22,,,0.091991467
8/1/22,,,-0.041289369
9/1/22,,,-0.095965854
10/3/22,,,0.081175754
11/1/22,,,0.055050007
12/1/22,,,-0.061817405
1/3/23,,,0.062902032
2/1/23,,,-0.024983933
3/1/23,,,0.032847217
4/3/23,,,0.015901295
5/1/23,,,0.004816124
6/1/23,,,0.060928912
7/3/23,,,0.032901198
8/1/23,,,-0.016283161
9/1/23,,,-0.051059614
10/2/23,,,-0.021721416
11/1/23,,,0.091704193
12/1/23,,,0.04148784
1/2/24,,,0.016071429
2/1/24,,,0.052070659
3/1/24,,,0.029490502
4/1/24,,,-0.040087373
5/1/24,,,0.05025681
6/3/24,,,0.032004457
7/1/24,,,0.011596985
8/1/24,,,0.023936118
9/3/24,,,0.018589298
10/1/24,,,-0.009475619
11/1/24,,,0.058889931
12/2/24,,,-0.026452254
1/2/25,,,0.010077764
